"","...1","phone","storage","color","carrier","Condition","Price","Date"
"1",0,"AppleiPhone7","32GB","Black ","Unlocked","Good",103.89,20210101
"2",1,"AppleiPhone11","128GB"," Gray","Unlocked","Excellent",300,20210101
"3",2,"AppleiPhone8","128GB"," Black","Unlocked","Good",120,20210101
"4",3,"AppleiPhone8","64GB"," Black","Unlocked","Good",120,20210101
"5",5,"AppleiPhone11","64GB"," Gray","Unlocked","VeryGood",319.99,20210101
"6",6,"AppleiPhoneX","256GB"," Black","Unlocked","VeryGood",239.95,20210101
"7",7,"AppleiPhone12","128GB"," Black","Unlocked","Good",499.99,20210101
"8",8,"AppleiPhone11","64GB","Black ","Unlocked","Good",279.99,20210101
"9",9,"AppleiPhone11","64GB"," Black","Unlocked","VeryGood",339.95,20210101
"10",10,"AppleiPhone8Plus","64GB"," Black","Unlocked","VeryGood",204.95,20210101
"11",11,"AppleiPhoneXR","64GB"," Black","Unlocked","VeryGood",239.95,20210101
"12",12,"AppleiPhone8","64GB"," Black","Unlocked","Good",134.99,20210101
"13",13,"AppleiPhone7","256GB"," Black","Unlocked","VeryGood",120,20210101
"14",14,"AppleiPhone8Plus","256GB"," Red","Unlocked","Excellent",270,20210101
"15",15,"AppleiPhoneXS","64GB"," Black","Unlocked","VeryGood",234.95,20210101
"16",16,"AppleiPhone8","64GB"," Black","Unlocked","VeryGood",154.95,20210101
"17",17,"AppleiPhoneXSMax","512GB"," Black","Unlocked","VeryGood",370,20210101
"18",18,"AppleiPhone11Pro","256GB"," Gray","Unlocked","VeryGood",484.95,20210101
"19",19,"AppleiPhone11ProMax","256GB"," Gray","Unlocked","VeryGood",574.95,20210101
"20",20,"AppleiPhone8Plus","64GB","  Space Gray","Unlocked","Good",179.99,20210101
"21",22,"AppleiPhoneXR","64GB"," Black","Unlocked","Good",218.99,20210101
"22",23,"AppleiPhone11","128GB"," Gray","Unlocked","VeryGood",369.95,20210101
"23",24,"AppleiPhone12ProMax","256GB"," Green","Unlocked","Excellent",759.99,20210101
"24",25,"AppleiPhone8","256GB","Black","Unlocked","Good",180,20210101
"25",26,"AppleiPhone8Plus","256GB"," Black","Unlocked","VeryGood",229.95,20210101
"26",27,"AppleiPhoneX","256GB"," gray ","Unlocked","ForParts",180,20210101
"27",28,"AppleiPhone11","64GB","Black","Unlocked","ForParts",255,20210101
"28",29,"AppleiPhone11","128GB"," Black","Unlocked","VeryGood",420,20210101
"29",30,"AppleiPhoneSE","64GB"," Silver","Unlocked","VeryGood",82.99,20210101
"30",31,"AppleiPhoneXR","64GB","Black","Unlocked","VeryGood",224.99,20210101
"31",32,"AppleiPhoneXR","64GB"," White ","Unlocked","VeryGood",204.99,20210101
"32",33,"AppleiPhone11","128GB"," Black","Unlocked","VeryGood",379.99,20210101
"33",34,"AppleiPhone12mini","64GB"," Black","Unlocked","VeryGood",369.95,20210101
"34",35,"AppleiPhoneXR","64GB"," Black","Unlocked","VeryGood",239,20210101
"35",37,"AppleiPhone8","64GB"," Gray","Unlocked","Good",138,20210101
"36",40,"AppleiPhone7Plus","32GB"," Red","Unlocked","VeryGood",154.95,20210101
"37",41,"AppleiPhone7Plus","256GB"," Red ","Unlocked","Good",170,20210101
"38",42,"AppleiPhoneXR","128GB","Black","Unlocked","Good",232.99,20210101
"39",43,"AppleiPhone8","256GB","Black","Unlocked","Good",199.99,20210101
"40",44,"AppleiPhone12","64GB","Black","Unlocked","VeryGood",454.95,20210101
"41",45,"AppleiPhoneX","256GB"," Black","Unlocked","VeryGood",239.95,20210101
"42",46,"AppleiPhoneSE","64GB","Silver","Unlocked","VeryGood",169.95,20210101
"43",8843,"AppleiPhone11","64GB","Gray","Unlocked","Good",309.99,20210101
"44",8854,"AppleiPhoneXS","64GB","Black ","Unlocked","VeryGood",224.99,20210101
"45",8856,"AppleiPhone7Plus","128GB","Black","Unlocked","VeryGood",169.95,20210101
"46",8859,"AppleiPhone12","128GB","Black","Unlocked","VeryGood",479.95,20210101
"47",8861,"AppleiPhone7","128GB","Black","Unlocked","VeryGood",114.95,20210101
"48",8865,"AppleiPhone8","64GB","Black","Unlocked","Good",159,20210101
"49",8866,"AppleiPhone8","256GB","Black","Unlocked","New",179.89,20210101
"50",8868,"AppleiPhone11","128GB","Black","Unlocked","VeryGood",364.95,20210101
"51",8870,"iPhoneSE","32GB"," Gray","Unlocked","New",119,20210101
"52",8872,"AppleIphone11","64GB","Black","Unlocked","VeryGood",314.99,20210101
"53",8873,"AppleiPhone7","32GB","Black","Unlocked","Good",103.89,20210101
"54",8878,"AppleiPhone7Plus","32GB","Black","Unlocked","Good",119.99,20210101
"55",8880,"AppleiPhoneX","64GB","Black","Unlocked","Good",214.95,20210101
"56",8881,"AppleiPhone11ProMax","256GB"," Gray","Unlocked","VeryGood",544.95,20210101
"57",8882,"AppleiPhoneSE","256GB","Silver","Unlocked","New",210,20210101
"58",24327,"AppleiPhone11","128GB","Black","Unlocked","Good",414,20210101
"59",24336,"AppleiPhone6s","16GB"," Silver","Unlocked","Good",125,20210101
"60",24343,"AppleiPhone13","128GB"," Green","Unlocked","Excellent",664.99,20210101
"61",24344,"AppleiPhoneXS","64GB","Black","Unlocked","VeryGood",209.95,20210101
"62",28739,"AppleiPhone13ProMax","256GB","Graphite","Unlocked","Excellent",924.99,20210101
"63",28751,"AppleiPhoneXS","64GB","Gray","Unlocked","Excellent",234.99,20210101
"64",28752,"AppleiPhone7","32GB"," Black","Unlocked","VeryGood",104.95,20210101
"65",28753,"AppleiPhoneX","256GB","  Silver","Unlocked","Excellent",279,20210101
"66",28757,"AppleiPhoneXSMax","256GB"," Gray","Unlocked","VeryGood",304.95,20210101
"67",28759,"AppleiPhone7Plus","32GB","Gray","Unlocked","Good",119.99,20210101
"68",28761,"AppleiPhone11","64GB","Gray","Unlocked","VeryGood",314.95,20210101
"69",30833,"AppleiPhone8","64GB","Gray","Unlocked","Good",224,20210101
"70",30834,"AppleiPhone11","128GB","Gray","Unlocked","ForParts",200,20210101
"71",30835,"AppleiPhoneXR","64GB","Gray","Unlocked","ForParts",120,20210101
"72",30836,"AppleiPhone7Plus","64GB","Gray","Unlocked","ForParts",50,20210101
"73",30837,"AppleiPhone8","64GB","Gray","Unlocked","Good",230,20210101
"74",30839,"AppleiPhone8Plus","64GB","Gray","Unlocked","Good",299.99,20210101
"75",30840,"AppleiPhone8Plus","64GB","Gray","Unlocked","Good",299.99,20210101
"76",30841,"AppleiPhone11","256GB","Gray","Unlocked","Good",600,20210101
"77",30842,"AppleiPhoneX","256GB","Gray","Unlocked","Good",389,20210101
"78",30843,"AppleiPhone8","64GB","Gray","Unlocked","Good",219.99,20210101
"79",30844,"AppleiPhoneXR","128GB","Gray","Unlocked","Good",340,20210101
"80",30845,"AppleiPhone11Pro","128GB","Gray","Unlocked","Good",600,20210101
"81",30846,"AppleiPhoneXR","128GB","Gray","Unlocked","Good",350,20210101
"82",30847,"AppleiPhoneSE","128GB","Unlocked","Gray","ForParts",50,20210101
"83",30848,"AppleiPhoneX","64GB"," Unlocked","SpaceGray","ForParts",120,20210101
"84",30849,"AppleiPhoneX","256GB","Gray","Unlocked","Good",330,20210101
"85",30850,"AppleiPhone8","64GB","Gray","Unlocked","ForParts",100,20210101
"86",30851,"AppleiPhone8Plus","64GB","Gray","Unlocked","Good",304.95,20210101
"87",30852,"AppleiPhone13","128GB","Green","Unlocked","ForParts",330,20210101
"88",30853,"AppleiPhoneXSMax","64GB","Gray","Unlocked","VeryGood",550,20210101
"89",30854,"AppleiPhone8","64GB","Gray","Unlocked","VeryGood",230,20210101
"90",30855,"AppleiPhone7","128GB","Silver","Unlocked","Good",180,20210101
"91",30856,"AppleiPhoneXS","512GB","Gray","Unlocked","VeryGood",314.99,20210101
"92",30857,"AppleiPhone12","64GB","Gray","Unlocked","New",895,20210101
"93",30858,"AppleiPhoneXSMax","64GB","Gray","Unlocked","VeryGood",519,20210101
"94",30859,"AppleiPhone7","64GB"," Red","Unlocked","ForParts",80,20210101
"95",30860,"AppleiPhone11ProMax","64GB"," Gray","Unlocked","ForParts",230,20210101
"96",30861,"AppleiPhoneSE","128GB"," Gray","Unlocked","ForParts",150,20210101
"97",30862,"AppleiPhone11ProMax","256GB","Gray","Unlocked","Good",950,20210101
"98",30863,"AppleiPhoneX","256GB","Gray","Unlocked","Good",460,20210101
"99",30864,"AppleiPhone6","16GB","Gray","Unlocked","Excellent",90,20210101
"100",30865,"Appleiphone7plus","32GB","Gray","Unlocked","VeryGood",180,20210101
"101",30866,"AppleiPhone7","32GB","Black","Unlocked","Good",150,20210101
"102",30867,"AppleiPhoneX","256GB","Space Gray ","Unlocked","Good",350,20210101
"103",30868,"AppleiPhone7","32GB","Gray","Unlocked","Good",130,20210101
"104",30869,"AppleiPhoneXR","64GB","Gray","Unlocked","Good",354,20210101
"105",30870,"AppleiPhone11","256GB","Gray","Unlocked","Good",750,20210101
"106",30871,"AppleiPhone7","32GB","Silver","Unlocked","ForParts",90,20210101
"107",30872,"AppleiPhoneX","256GB","Unlocked","SpaceGray","ForParts",299.99,20210101
"108",30873,"AppleiPhoneXR","64GB","Gray","Unlocked","VeryGood",379,20210101
"109",30874,"AppleiPhone6S","16GB","Gray","Unlocked","Good",114.95,20210101
"110",30875,"AppleiPhoneXS","64GB","Gray","Unlocked","ForParts",150,20210101
