,product,Price,Date
0,Apple iPhone 7/ 32GB/Black /Unlocked /Good,$103.89,20210101
1,Apple iPhone 11/ 128GB/ Gray/ Unlocked/ Excellent,$300,20210101
2,Apple iPhone 8/  128GB / Black/ Unlocked/ Good ,120,20210101
3,Apple iPhone 8/ 64GB/ Black/Unlocked / Good,120,20210101
4,Apple iPhone X / 64GB/ Color/ Factory Unlocked Phone - Very Good,$224.95,20210101
5,Apple iPhone 11/ 64GB/ Gray/ Unlocked/Very Good,$319.99,20210101
6,Apple iPhone X/ 256GB/ Black/Unlocked/Very Good,$239.95,20210101
7,Apple iPhone 12/ 128GB/ Black/ Unlocked /Good ,$499.99,20210101
8,Apple iPhone 11/64GB/Black / Unlocked/ Good,$279.99,20210101
9,Apple iPhone 11/ 64GB/ Black/Unlocked/ Very Good,$339.95,20210101
10,Apple iPhone 8 Plus/ 64GB/ Black/Unlocked/ Very Good,$204.95,20210101
11,Apple iPhone XR/ 64GB/ Black/Unlocked/Very Good,$239.95,20210101
12,Apple iPhone 8/ 64GB/ Black/ Unlocked/Good,$134.99,20210101
13,Apple iPhone 7/ 256GB / Black/ Unlocked/ Very Good,120,20210101
14,Apple iPhone 8 Plus/ 256gb/ Red/ Unlocked/ Excellent,270,20210101
15,Apple iPhone XS/ 64GB/ Black/Unlocked / Very Good,$234.95,20210101
16,Apple iPhone 8/ 64GB/ Black/Unlocked/ Very Good,$154.95,20210101
17,Apple iPhone XS Max/ 512GB/ Black/ Unlocked /Very Good,370,20210101
18,Apple iPhone 11 Pro/ 256GB/ Gray/ Unlocked / Very Good  ,$484.95,20210101
19,Apple iPhone 11 Pro Max/ 256GB/ Gray/ Unlocked/Very Good,$574.95,20210101
20,Apple iPhone 8 Plus/ 64GB/  Space Gray/ Unlocked /Good,$179.99,20210101
21,Apple iPhone 13 Pro Max/ 128gb / Green/Unlocked/New,"$1,109.00",20210101
22,Apple iPhone XR / 64GB / Black/Unlocked / Good  ,$218.99,20210101
23,Apple iPhone 11/ 128GB/ Gray/Unlocked/ Very Good,$369.95,20210101
24,Apple iPhone 12 Pro Max / 256GB/ Green/ Unlocked/Excellent,$759.99,20210101
25,Apple iPhone 8/ 256GB/Black/Unlocked/ Good,180,20210101
26,Apple iPhone 8 Plus/ 256GB/ Black/Unlocked /Very Good,$229.95,20210101
27,Apple iPhone X /256GB / gray /Unlocked/ For Parts,$180.00,20210101
28,Apple iPhone 11/ 64GB/Black/ Unlocked/For Parts,$255.00,20210101
29,Apple iPhone 11/ 128GB/ Black/ Unlocked/Very Good,420,20210101
30,Apple iPhone SE/64GB/ Silver/ Unlocked/Very Good,$82.99,20210101
31,Apple iPhone XR/ 64GB/Black/ Unlocked/Very Good,$224.99,20210101
32,Apple iPhone XR/64GB/ White / Unlocked/Very Good,$204.99,20210101
33,Apple iPhone 11/ 128GB/ Black/ Unlocked/ Very Good,$379.99,20210101
34,Apple iPhone 12 mini/ 64GB/ Black/ Unlocked/Very Good  ,$369.95,20210101
35,Apple iPhone XR / 64GB / Black/Unlocked/Very Good,$239.00,20210101
36,Apple iPhone XS Max/ 512GB/ Unlocked/Excellent,419,20210101
37,Apple iPhone 8/ 64GB/ Gray/Unlocked/Good,$138.00,20210101
38,Apple iPhone 6s/64 GB/Silver/Unlocked / Very Good ,$99.99 to $109.99,20210101
39,Apple iPhone X /256GB/Unlocked/Very Good,270,20210101
40,Apple iPhone 7 Plus/ 32GB/ Red/Unlocked /Very Good,$154.95,20210101
41,Apple iPhone 7 Plus/ 256GB/ Red /Unlocked / Good Condition,170,20210101
42,Apple iPhone XR / 128GB/Black/Unlocked/Good,$232.99,20210101
43,Apple iPhone 8/256GB/Black/Unlocked /Good Condition,199.99,20210101
44,Apple iPhone 12/ 64GB/Black/Unlocked/Very Good  ,$454.95,20210101
45,Apple iPhone X/ 256GB/ Black/Unlocked/ Very Good ,$239.95,20210101
46,Apple iPhone SE/ 64GB/Silver/ Unlocked/Very Good ,$169.95,20210101
8843,Apple iPhone 11/ 64GB /Gray/ Unlocked/Good Condition,$309.99,20210101
8846,Apple iPhone 13 Pro Max/256gb/Green/Unlocked/Very Good,"$1,189.00",20210101
8854,Apple iPhone XS/ 64GB/Black /Unlocked / Very Good,$224.99,20210101
8856,Apple iPhone 7 Plus/ 128GB/Black/ Unlocked /Very Good,$169.95,20210101
8859,Apple iPhone 12/ 128GB/Black/ Unlocked/ Very Good,$479.95,20210101
8861,Apple iPhone 7/ 128GB/Black/ Unlocked/ Very Good,$114.95,20210101
8865,Apple iPhone 8/ 64GB/Black/  Unlocked/  Good,$159.00,20210101
8866,Apple iPhone 8/256GB/Black/ Unlocked/New ,$179.89,20210101
8868,Apple iPhone 11/ 128GB/Black/ Unlocked /Very Good ,$364.95,20210101
8870,iPhone SE / 32GB/ Gray/Unlocked/  New,$119.00,20210101
8871,Apple iPhone 8/ 128GB/Black/ Good,130,20210101
8872,Apple Iphone 11 /64GB /Black/Unlocked / Very Good,$314.99,20210101
8873,Apple iPhone 7 /32GB/Black/Unlocked/Good,$103.89,20210101
8874,Apple iPhone 5S/64Gb/Black/ Good,$49.99,20210101
8878,Apple iPhone 7 Plus /32GB/Black/Unlocked/ Good,$119.99,20210101
8880,Apple iPhone X/ 64GB /Black/Unlocked/ Good,$214.95,20210101
8881,Apple iPhone 11 Pro Max/ 256GB/ Gray/Unlocked/ Very Good ,$544.95,20210101
8882,Apple iPhone SE/256GB/Silver/ Unlocked /New,210,20210101
24302,Apple iPhone 8 Plus /64GB /Unlocked / Good Condition,$169.00,20210101
24327,Apple iPhone 11 /128GB/Black/ Unlocked / Good Condition,414,20210101
24336,Apple iPhone 6s /16GB/ Silver/Unlocked /Good,125,20210101
24343,Apple iPhone 13/ 128GB/ Green/Unlocked/Excellent,$664.99,20210101
24344,Apple iPhone XS/ 64GB/Black/Unlocked/Very Good ,$209.95,20210101
28739,Apple iPhone 13 Pro Max/ 256GB /Graphite/Unlocked/ Excellent,$924.99,20210101
28751,Apple iPhone XS / 64GB /Gray/ Unlocked /Excellent,$234.99,20210101
28752,Apple iPhone 7 /32GB/ Black/ Unlocked /Very Good,$104.95,20210101
28753,Apple iPhone X /256GB/  Silver/ Unlocked/ Excellent,$279.00,20210101
28757,Apple iPhone XS Max/ 256GB/ Gray/ Unlocked/Very Good ,$304.95,20210101
28759,Apple iPhone 7 Plus /32GB/Gray/Unlocked/Good,$119.99,20210101
28761,Apple iPhone 11/ 64GB/Gray/  Unlocked / Very Good,$314.95,20210101
30833,Apple iPhone 8/ 64GB/Gray/ Unlocked/Good,$224.00,20210101
30834,Apple iPhone 11 /128GB /Gray/  Unlocked/For Parts,200,20210101
30835,Apple iPhone XR/ 64GB/Gray/ Unlocked/For Parts,$120.00,20210101
30836,Apple iPhone 7 Plus/ 64GB/Gray/  Unlocked/For Parts,50,20210101
30837,Apple iPhone 8/ 64GB/Gray/ Unlocked /Good,230,20210101
30838,Apple iPhone 11 Black 64GB A2111 LTE GSM CDMA Verizon Unlocked - Really Good,$473.99,20210101
30839,Apple iPhone 8 Plus /64GB /Gray/  Unlocked/Good,$299.99,20210101
30840,Apple iPhone 8 Plus /64GB/Gray/unlocked/ Good,$299.99,20210101
30841,Apple iPhone 11 / 256GB/Gray/Unlocked/Good,600,20210101
30842,Apple iPhone X/256GB/Gray/ Unlocked/Good,389,20210101
30843,Apple iPhone 8/ 64GB/Gray/ Unlocked/Good,$219.99,20210101
30844,Apple iPhone XR/ 128GB/Gray/  Unlocked/Good,340,20210101
30845,Apple iPhone 11 Pro /128GB/Gray/Unlocked/Good,600,20210101
30846,Apple iPhone XR/ 128GB /Gray/ Unlocked/Good,350,20210101
30847,Apple iPhone SE/ 128GB/Unlocked/Gray/ For Parts,50,20210101
30848,Apple iPhone X/ 64GB/ Unlocked/Space Gray /For Parts,$120.00,20210101
30849,Apple iPhone X/ 256GB /Gray/ Unlocked /Good,330,20210101
30850,Apple iPhone 8 /64GB/Gray/Unlocked/For Parts,100,20210101
30851,Apple iPhone 8 Plus/ 64GB/Gray/  Unlocked/Good,$304.95,20210101
30852,Apple iPhone 13/128GB/Green/Unlocked/For Parts,$330.00,20210101
30853,Apple iPhone XS Max /64GB/Gray/ Unlocked /Very Good,550,20210101
30854,Apple iPhone 8 /64GB/Gray/ Unlocked /Very Good,230,20210101
30855,Apple iPhone 7 /128GB /Silver/Unlocked/Good,180,20210101
30856,Apple iPhone XS/ 512 GB /Gray/ UNLOCKED/Very Good,$314.99,20210101
30857,Apple iPhone 12 / 64gb/Gray/ Unlocked/New,$895.00,20210101
30858,Apple iPhone XS Max/ 64GB/Gray/ Unlocked /Very Good,519,20210101
30859,Apple iPhone 7 / 64GB/ Red/ unlocked/For Parts,80,20210101
30860,Apple iPhone 11 Pro Max / 64GB/ Gray/ Unlocked/For Parts,230,20210101
30861,Apple iPhone SE/128GB/ Gray/ Unlocked/ For Parts,150,20210101
30862,Apple iPhone 11 Pro Max / 256GB/Gray/ Unlocked/Good,950,20210101
30863,Apple iPhone X /256GB/Gray/  Unlocked/Good,460,20210101
30864,Apple iPhone 6 /16GB/Gray/Unlocked/Excellent,90,20210101
30865,Apple iphone 7 plus /32GB/Gray/Unlocked/ Very Good,180,20210101
30866,Apple  iPhone 7 /32GB/Black/Unlocked /Good,$150.00,20210101
30867,Apple iPhone X/256GB/Space Gray / Unlocked/Good,350,20210101
30868,Apple iPhone 7/ 32GB/Gray/  Unlocked/Good,130,20210101
30869,Apple iPhone XR/64GB/Gray/ Unlocked/Good,354,20210101
30870,Apple iPhone 11/256GB/Gray/Unlocked/Good,750,20210101
30871,Apple iPhone 7/32GB/Silver/Unlocked/For Parts,90,20210101
30872,Apple iPhone X /256GB/Unlocked/Space Gray/For Parts,$299.99,20210101
30873,Apple iPhone XR /64GB /Gray/ Unlocked/Very Good,$379.00,20210101
30874,Apple iPhone 6S/ 16GB/Gray/  Unlocked/Good,$114.95,20210101
30875,Apple iPhone XS/64GB/Gray/  Unlocked/For Parts,150,20210101
